year,log_bin_ratio,normalization_mean_income_adj_2025_usd,positive_income_observation_n,gompertz_A,gompertz_B,gompertz_r2,gompertz_sse,gompertz_x_gmax,gompertz_point_n,gompertz_selection_status,gompertz_boundary_A_free,gompertz_boundary_B_free,gompertz_boundary_r2_free,gompertz_population_n,gompertz_population_pct,gompertz_ccdf_at_x_t_percent,bootstrap_reps,gompertz_B_bootstrap_se,gompertz_A_free_bootstrap_se,gompertz_B_free_bootstrap_se,exponential_intercept,exponential_alpha,exponential_r2,gompertz_income_share_pct
2007,1.1,522.7813351801577,113221,1.5271796258079011,0.3595890647490278,0.9740630412779392,0.8556723015066595,7.561989889673862,75,largest_range_with_free_A_in_1.4_to_1.6,1.5615717178126811,0.3682625679823328,0.976000693436614,111912,98.84385405534309,1.3547332210966054,1000.0,0.01885305126323361,0.00983785867639362,0.02034804436386726,4.467691829411378,0.7221700444209764,0.931778006530155,85.69564613046532
2008,1.1,591.9400350207104,113246,1.5271796258079011,0.385532485589696,0.9381680055222736,2.498967952427543,7.583022241382891,76,largest_range_with_free_A_in_1.4_to_1.6,1.5778398564924128,0.3982760553035808,0.9416628236547536,112041,98.93594475743072,1.2808266249514146,1000.0,0.031975151313484516,0.01926472658015932,0.035717679483929246,4.457669055744747,0.7255458108256723,0.9325187389120475,86.38060474258788
2009,1.1,636.8295046612242,116202,1.5271796258079011,0.3981916110315371,0.9197631504177224,3.510999081580112,7.5750694401889955,73,largest_range_with_free_A_in_1.4_to_1.6,1.5911220471341934,0.4142882375461025,0.924626365218806,114985,98.95268584017488,1.2530297534752182,1000.0,0.039327000392478294,0.02121725644015902,0.043658452968363404,4.478786736741683,0.7323375881302685,0.936161862915839,86.84711182857939
2011,1.1,748.4862373020752,104736,1.5271796258079011,0.3694906037722973,0.9737325955071308,0.7932534780497253,7.023829110994125,74,largest_range_with_free_A_in_1.4_to_1.6,1.5675434524899858,0.3804502288714771,0.976594278191285,103495,98.815116101436,1.4101200792618394,1000.0,0.01866108607464959,0.009163936322434228,0.020667006376991513,4.502632804431515,0.7690223627497832,0.9408716115292356,86.3139371399931
2012,1.1,720.9950051905743,108751,1.5271796258079011,0.3950686747566796,0.952421275679574,1.5979788997780089,6.78783390498434,75,largest_range_with_free_A_in_1.4_to_1.6,1.5799485474366477,0.4098960791860552,0.9569015997707748,107535,98.88184936230472,1.3705623356200047,1000.0,0.02917324108703566,0.013452123676040099,0.03150840779034724,4.515692004486766,0.7982997785219393,0.9470687981639181,86.15610334869736
2013,1.1,691.9632268598937,108864,1.5271796258079011,0.3706790116630506,0.978434903252736,0.6311931288975129,6.874046452162832,76,largest_range_with_free_A_in_1.4_to_1.6,1.5668512251190392,0.3816868014217775,0.9813943580308314,107534,98.77829218106996,1.4337249417307232,1000.0,0.017202009101524415,0.007742484832295992,0.018594267125182206,4.514542900276559,0.783326470242208,0.9443349219913655,86.60743269827107
2014,1.1,722.2096970800125,114239,1.5271796258079011,0.3908792030900442,0.958636995879108,1.425673727883306,6.934216319838362,78,largest_range_with_free_A_in_1.4_to_1.6,1.5776187546000444,0.4047554600567314,0.962846596414872,112957,98.87779129719272,1.3583601982016225,1000.0,0.026389711756511277,0.01182602940869583,0.02837909040947034,4.518230353230429,0.7872462861112989,0.9461444730862356,87.30346337074751
2015,1.1,439.47296338031873,114941,1.5271796258079011,0.373145591177874,0.97704199299387,0.6551497277502555,6.731204508147656,76,largest_range_with_free_A_in_1.4_to_1.6,1.567841874248928,0.384669109089362,0.9802305828793982,114880,99.94692929415962,1.0022991016660687,1000.0,0.01795686143528125,0.010288320643602623,0.019533656746826153,4.49840891783353,0.7900163301207698,0.9433277680122808,98.45919613147181
2016,1.1,419.4933484069345,454969,1.5271796258079011,0.3986868701141159,0.9589320833601154,1.3406466702079909,6.6528101920850125,74,largest_range_with_free_A_in_1.4_to_1.6,1.583969666961819,0.4149683724083424,0.9641720033958364,449789,98.861460890742,1.3834561178586364,1000.0,0.025677601369230554,0.014478412581702555,0.02880918261579688,4.51073943715357,0.8076253140574229,0.9532925207778228,87.73230595213154
2017,1.1,44677.99530925876,457790,1.5271796258079011,0.3730754701028994,0.984185737613352,0.4184009003026799,6.5435217482552686,74,largest_range_with_free_A_in_1.4_to_1.6,1.5657029593607232,0.3843033080233181,0.987161035782766,451892,98.71163633980646,1.493165210261545,1000.0,0.014137720012276861,0.004916783280972988,0.014288999255059399,4.534345289950314,0.8136210436394775,0.9561562033281331,86.41433881559492
2018,1.1,362.9241209928159,446698,1.5271796258079011,0.3794215058293388,0.9752709480972545,0.7654604066465871,6.870824545929754,77,largest_range_with_free_A_in_1.4_to_1.6,1.5695352275801957,0.3911812696633751,0.978518393308626,441360,98.80500920084712,1.404494411168815,1000.0,0.018888997567536665,0.009460204607146448,0.02012051287271807,4.500925689582115,0.783547522352485,0.9482139593125566,86.7439937930807
2019,1.1,373.4886058102362,438183,1.5271796258079011,0.3844700373455545,0.9733982314088616,0.8052095508543569,6.730488746199635,74,largest_range_with_free_A_in_1.4_to_1.6,1.573591453937935,0.3976222136903916,0.977172739042033,432986,98.81396585444894,1.4138062321186289,1000.0,0.019179225987799062,0.010702447598003753,0.0208910247906157,4.495566244506694,0.7943332651074456,0.950077410864237,86.70792659068124
2020,1.1,295.0852186358888,349143,1.5271796258079011,0.3926348982971175,0.9702835348318308,0.85806835957806,6.4020354632668255,74,largest_range_with_free_A_in_1.4_to_1.6,1.57822026828688,0.4078404977957678,0.9750689194193268,344974,98.80593338546096,1.4519186053111934,1000.0,0.02200990227276345,0.010971253895766848,0.022997930160933464,4.526961454628876,0.8317609921727138,0.9532327839211344,87.30234259899389
2021,1.1,282.5860263804672,328533,1.5271796258079011,0.3862244236569228,0.9755280362645632,0.7010495087203737,6.489624975009965,76,largest_range_with_free_A_in_1.4_to_1.6,1.5727209427692528,0.3996110429321367,0.9795123611347236,324544,98.78581451482805,1.4558419744003144,1000.0,0.019356799925312106,0.009847611866774722,0.020743506223803023,4.517198530330126,0.8190965066081525,0.9535731573289838,87.19270948366537
2022,1.1,322.5440227086869,372351,1.5271796258079011,0.3790583461881741,0.9824941493279874,0.4199898126474363,6.09671689091838,74,largest_range_with_free_A_in_1.4_to_1.6,1.5706962747948108,0.3926700400798913,0.986681182459323,367374,98.66335796063392,1.5787807216672722,1000.0,0.014438683774168007,0.006266087469072366,0.01519913512833877,4.549920379935249,0.8539549201686476,0.9601983821358226,86.51923002823435
2023,1.1,359.66647162951114,378058,1.5271796258079011,0.3830499842262682,0.976912432413316,0.5570278578642659,6.046762897273875,72,largest_range_with_free_A_in_1.4_to_1.6,1.5752810083836322,0.3982181505997565,0.9818082038553816,373160,98.70443159515207,1.5750451890292094,1000.0,0.01735713453482027,0.009656296746501796,0.018825057746355938,4.534318005913472,0.853985364931941,0.9578211059762329,87.08227873881314
2024,1.1,347.5077245764152,377648,1.5271796258079011,0.4196142479391759,0.9413556905388364,2.0209800086940017,6.417683532043161,72,largest_range_with_free_A_in_1.4_to_1.6,1.5985807894929371,0.4408265414691446,0.9489085299452926,373475,98.8950027538872,1.36572033286905,1000.0,0.03491927276202233,0.016922314261035694,0.037048631997858406,4.538152349168053,0.8409659042213493,0.9572940334987726,88.42008915045923
2025,1.1,390.9591732389968,403561,1.5271796258079011,0.3842378671610867,0.9781799490095948,0.5292804955014845,6.061163753063535,71,largest_range_with_free_A_in_1.4_to_1.6,1.5764445762689774,0.3997318597496112,0.9831890252524176,398280,98.69139981316332,1.5660300264848446,1000.0,0.017487629648437062,0.008941196517924879,0.017557830401272692,4.533800261565808,0.8540433729098603,0.9573595031420493,87.02089246235305
