year,normalization_mean,cutoff_normalized,cutoff_income_adj,cutoff_quantile,n_total,n_body,n_tail,body_fraction,tail_fraction,gompertz_A,gompertz_B,gompertz_r2,pareto_alpha,pareto_beta,pareto_r2,body_sse_logF,tail_sse_logF,joint_sse
1993,356.6437655311534,6.262329721466666,2233.420852861531,0.9815538024942071,76818,75401,1417,0.9815538024942071,0.018446197505792912,1.5271796258079011,0.3106710872639995,0.996654637112262,2.2489946118357325,119.58569322116473,0.9920607019505295,0.9236318679437354,3.2495270281272925,4.173158896071028
1995,566.5207657533582,8.117901882291438,4598.959990666373,0.9888748388979404,82246,81331,915,0.9888748388979404,0.011125161102059675,1.5271796258079011,0.32393723728823537,0.992084341605438,2.832346614303126,524.8818793145608,0.9887019106612679,0.8445151815352976,2.368452319603698,3.212967501138996
1996,584.2302970253653,7.9157931281303755,4624.646170438955,0.9884759007839355,80874,79942,932,0.9884759007839355,0.011524099216064496,1.5271796258079011,0.32324902650973836,0.9881555267828229,2.8992820536339647,575.1593517075804,0.9828775973548695,0.7497272867510887,4.518273571803285,5.268000858554374
1997,555.5779504636478,6.556556210728161,3642.6780616560523,0.9823877697342553,86474,84951,1523,0.9823877697342553,0.017612230265744617,1.5271796258079011,0.3092612559514972,0.9971025141203075,2.4767215050840767,193.17784475386065,0.9851984178166119,0.7550330647775537,5.681749195467195,6.436782260244749
1998,533.1656956356327,6.877488014017715,3666.8406812194808,0.9839091013428211,87130,85728,1402,0.9839091013428211,0.01609089865717893,1.5271796258079011,0.30670741708953825,0.9967185047115587,2.5251276731154246,227.63781688906775,0.9937149428367947,0.9259262940335218,1.7222957592724422,2.6482220533059637
1999,322.8328372731745,8.327110390562124,2688.2646736721026,0.989576417474439,90372,89430,942,0.989576417474439,0.010423582525561014,1.5271796258079011,0.33460241766950105,0.9719832059650203,3.0309020025834394,818.8972511151838,0.9900842792445578,1.1888792401023254,2.244068766145522,3.4329480062478472
2001,250.52313570996824,8.314794322601502,2083.0483464815698,0.9893407542847957,99538,98477,1061,0.9893407542847957,0.010659245715204244,1.5271796258079011,0.32591615094891657,0.9907904953647897,2.9244480165209312,665.4898244330334,0.9912167060368221,0.7887493111030344,2.3353051321415887,3.1240544432446233
2002,215.1141794549574,3.584939285304955,771.1712727542168,0.9512487804878049,102500,97503,4997,0.9512487804878049,0.048751219512195125,1.5271796258079011,0.3208268289678171,0.9942630860998215,2.1647581232691055,68.15549872274089,0.9591146380131393,0.6489407387442058,35.03651648191694,35.68545722066115
2003,261.6397433348956,7.58335910106314,1984.1081288185048,0.9879053579840982,104013,102755,1258,0.9879053579840982,0.012094642015901859,1.5271796258079011,0.3280479293373624,0.9915028602145755,2.936314892207168,562.0198684756909,0.9921594847316025,0.733213199782163,1.8298930319112692,2.5631062316934323
2004,284.4605044411012,6.83778807424459,1945.080644860962,0.9854238905094759,109014,107425,1589,0.9854238905094759,0.014576109490524153,1.5271796258079011,0.3205841345045574,0.9961375191668635,2.632965882341193,264.041000418736,0.9952315214682138,0.7127967506810498,1.4217082511560752,2.134505001837125
2005,379.5804662471769,7.136338837249875,2708.8148231411437,0.9866576070171104,113323,111811,1512,0.9866576070171104,0.013342392982889617,1.5271796258079011,0.3246493792080732,0.9955645610270107,2.750485191955763,350.4670382442556,0.9942002145354848,0.7522997224945014,1.718275667840329,2.4705753903348304
2006,437.5725379891993,5.8232944540648015,2548.113733723564,0.9805255667025375,115228,112984,2244,0.9805255667025375,0.019474433297462422,1.5271796258079011,0.3199834213433671,0.997262589035844,2.489065724820108,164.0049387171508,0.9897295840082214,0.821136676602602,4.167075193892657,4.98821187049526
2007,522.7813351801577,7.25163359696013,3791.0186940561066,0.9876524672984693,113221,111823,1398,0.9876524672984693,0.012347532701530635,1.5271796258079011,0.34107102666047345,0.9919724610358112,2.795150051834756,374.67607885462513,0.9916735593517318,1.0950402978189446,1.9972227914805307,3.0922630892994754
2008,591.9400350207104,5.35292079687416,3168.608123964779,0.9784539851297176,113246,110806,2440,0.9784539851297176,0.021546014870282394,1.5271796258079011,0.3274612397629878,0.9970426466146787,2.3967329663294863,123.81922221977531,0.9886786080425357,0.963693699750527,5.723660525193285,6.687354224943812
2009,636.8295046612242,6.003451521960871,3823.175058988014,0.9829607063561728,116202,114222,1980,0.9829607063561728,0.017039293643827128,1.5271796258079011,0.3330015274824719,0.9968212783189838,2.534675816706341,175.34469666567782,0.9943833594322876,1.0464487081646106,1.7026345145289459,2.7490832226935566
2011,748.4862373020753,5.579229667195561,4175.976620643315,0.9816395508707608,104736,102813,1923,0.9816395508707608,0.01836044912923923,1.5271796258079011,0.3348536414940448,0.996799895699572,2.569286031376671,168.63883705028059,0.9930296366833239,1.338742990996543,2.622485360711073,3.961228351707616
2012,720.9950051905741,1.312888213454251,946.5858442740913,0.8216568123511508,108751,89356,19395,0.8216568123511508,0.1783431876488492,1.5271796258079011,0.3069713706053423,0.954777525963054,1.9350112752860795,36.75959392180627,0.9867490232873427,1.0282345868866933,11.634751848035865,12.662986434922558
2013,691.9632268598934,5.759355551090808,3985.2622517662353,0.9829236478542034,108864,107005,1859,0.9829236478542034,0.01707635214579659,1.5271796258079011,0.34086296461445514,0.9960554724994151,2.6703070446347854,204.76810112312356,0.99501080516826,1.5980436886324052,1.0054438235561833,2.6034875121885888
2014,722.2096970800126,3.088046551375921,2230.2171644381815,0.9486952791953711,114239,108378,5861,0.9486952791953711,0.05130472080462889,1.5271796258079011,0.33649498059410027,0.9888925037404643,2.2913189767587294,67.53970102912051,0.9715007108124278,1.6015462373268532,23.843027532007888,25.444573769334742
2015,439.47296338031873,5.438505919156756,2390.076312653224,0.9807988446246335,114941,112734,2207,0.9807988446246335,0.019201155375366492,1.5271796258079011,0.3414858810159215,0.9954658945578123,2.797532017146495,234.29036457810085,0.9819381142897529,1.7499014805309654,7.58659705045802,9.336498530988985
2016,733.1400571509172,5.898322552086486,4324.29653293123,0.9880333552279579,229889,227138,2751,0.9880333552279579,0.01196664477204216,1.5271796258079011,0.363823825987761,0.9921163082168443,3.1237054471707912,437.9681781899611,0.986595193530083,3.613679889543768,5.058240103892112,8.67191999343588
2017,790.0108708207396,5.3681996169862645,4240.9360541548795,0.9858946649982937,228566,225342,3224,0.9858946649982937,0.01410533500170629,1.5271796258079011,0.3561137569140066,0.9924538960337106,2.7536987478930723,202.01751343639674,0.9922597015637128,3.0690804296516934,2.8736934765784143,5.942773906230108
2018,616.7271672958897,5.117273947957363,3155.961866200799,0.9838470507997272,227265,223594,3671,0.9838470507997272,0.01615294920027281,1.5271796258079011,0.35047501555667593,0.9928978338586504,2.657265665028023,164.7652154848307,0.9939378764619201,2.5912314514869776,2.6989654600510504,5.290196911538028
2019,629.7090207356662,5.026276576253293,3165.091700779078,0.9820753837341989,225221,221184,4037,0.9820753837341989,0.017924616265801146,1.5271796258079011,0.3481800923898823,0.9920174640568773,2.5814194606776804,143.7943301268804,0.9898558976613093,2.602280741671336,4.1259406225971365,6.728221364268473
2020,524.8278928350857,4.952147434128081,2599.025102862117,0.979641565200388,132967,130260,2707,0.979641565200388,0.020358434799611934,1.5271796258079011,0.34827414473924156,0.9893399964629147,2.595559163801647,144.48710164928093,0.9888605524750508,2.6248647633808613,5.021366007588012,7.646230770968874
2021,494.0307981924806,4.635103850132425,2289.884054785962,0.9801492571905347,172588,169162,3426,0.9801492571905347,0.019850742809465315,1.5271796258079011,0.3536588605574331,0.9906246387017712,2.5107736479727967,114.96812690709874,0.9956992153599258,3.017390809236954,1.9273941451389138,4.9447849543758675
2022,526.3910668880958,3.2082587477969926,1688.7987451059253,0.9583862940182428,205341,196796,8545,0.9583862940182428,0.041613705981757176,1.5271796258079011,0.3470256383672884,0.9824977480383537,2.2600808138423862,63.259329941730535,0.9783504430196927,2.7071542775505972,20.424762874265866,23.131917151816463
2023,584.5595568734334,5.629685034062583,3290.8861888486235,0.9858960259192106,201858,199011,2847,0.9858960259192106,0.014103974080789465,1.5271796258079011,0.35527438713760473,0.9921555287040643,2.7749290687552453,225.52166419272248,0.9865634449463331,3.0381526817549016,4.818232715409664,7.856385397164566
2024,552.350903228484,6.298986624239336,3479.2509513227365,0.9865772456469662,208303,205507,2796,0.9865772456469662,0.013422754353033802,1.5271796258079011,0.3729419561603541,0.986318974707321,3.03953179869412,417.1650985211273,0.9865436459108836,3.9402942217184904,4.83246526060266,8.77275948232115
2025,607.1456706011436,5.356805690588686,3252.3613832924902,0.9823402427984494,215405,211601,3804,0.9823402427984494,0.017659757201550566,1.5271796258079011,0.36044749374333185,0.9883997739655943,2.777301636507404,206.2728630453767,0.9887930742688721,3.242445414011538,4.879738793244807,8.122184207256346
