year,gdp_growth_pct,income_observation_n,income_mean_2025_usd,income_median_2025_usd,income_std_2025_usd,gini_pnad,pietra_pnad,kolkata_pnad,zanardi_pnad,gini_ipea,gini_world_bank,p90_p99_population_n,p90_p99_income_share_pct,p90_p99_mean_income_2025_usd,p90_p99_median_income_2025_usd,p90_p99_std_income_2025_usd,p99_p999_population_n,p99_p999_income_share_pct,p99_p999_mean_income_2025_usd,p99_p999_median_income_2025_usd,p99_p999_std_income_2025_usd,p999_p100_population_n,p999_p100_income_share_pct,p999_p100_mean_income_2025_usd,p999_p100_median_income_2025_usd,p999_p100_std_income_2025_usd
1995,4.22379363350413,82246,566.5207657533583,266.73352145947075,1086.1818895887195,0.6078148953935558,0.4575850725969405,0.7283326469067329,0.0093506918677575,0.615,0.595311943295,7402,34.44993291769118,2168.552389992714,1889.3624436712512,856.112062385638,740,11.056853995015878,6961.943172283357,6488.848604338,1917.603237431866,83,3.2472747722731974,18229.36602198422,15559.455418469128,7092.813828205424
1996,2.20886405039022,80874,584.2302970253653,272.3161161510055,1101.068853356962,0.6093421955328784,0.4579235041438459,0.7286773716283089,0.0068643971372153,0.616,0.598383767765,7279,34.439090225129895,2235.491121697404,1983.5371423344843,876.5973009005296,728,10.610529270220308,6886.501826401777,6298.57090875196,1774.018703448928,81,3.235958825288676,18876.04337593673,16702.055123928334,7197.867730723809
1997,3.39484598630671,86474,555.5779504636477,259.33961709495463,1115.818116636956,0.6087982134452723,0.4567827176515581,0.7280504056763256,0.0080519143904324,0.616,0.597547175783,7783,34.21048972835636,2111.751496161788,1839.2880645032244,834.2280640360519,778,10.910851497981367,6737.667851394579,6130.9602150107485,1896.185036963246,87,3.435504067582216,18971.504109485304,15771.895153115149,11643.135481197589
1998,0.338097901207306,87130,533.1656956356326,251.5253334967373,1056.764583132982,0.6095628702928875,0.458375074719959,0.7286678974691543,0.0093934932842666,0.614,0.595662519999,7841,34.5182777355751,2045.067173591004,1746.5287720688148,835.0197760437172,784,11.078125525800925,6564.174714867569,5947.014436623741,1686.4800406989457,88,3.3328585161130992,17593.98098841733,14358.48173191189,9924.962796078418
1999,0.467937566477133,90372,322.8328372731744,152.70508882263732,599.7742178515044,0.6040101548852395,0.4540226873128803,0.7264320631362278,0.009678789363287,0.608,0.589512228762,8134,34.504018625464184,1237.590902338682,1068.9356217584614,490.1795776889422,813,10.975548127539671,3938.648908846674,3597.731892661336,1015.3074630852813,91,2.975662205328469,9540.119907024333,8327.517510461155,3606.68256522801
2001,1.38989640095637,99538,250.52313570996824,122.65752115146006,477.6755578046235,0.6045135448171821,0.4520930391603373,0.7255668078822596,0.0095963265743709,0.61,0.58402876478,8958,34.12748023102755,950.0138021240796,817.7168076764003,391.7298756619717,896,11.173596984042916,3109.723263129726,2896.0803605205847,756.4160054665072,100,3.1546067213785163,7866.507726803838,6814.306730636669,3351.339506652523
2002,3.05346185909312,102499,214.31002855590324,107.3243859501458,393.8182987649965,0.5957395428732748,0.4454300518561271,0.7222218077771546,0.0102610122654522,0.603,0.58105672714,9225,34.2272016681849,815.0178892947565,697.6085086759476,327.16271638607793,922,10.685797765303777,2545.8813059590434,2414.7986838782804,610.0203493616266,103,2.909160748867738,6204.297539994321,5258.894911557144,2960.0786633811404
2003,1.14082899824888,104013,261.6397433348955,142.34144881907173,467.5463872931864,0.5883019899185813,0.4380738088308901,0.7184705153823643,0.009552595308154,0.596,0.575533879723,9361,33.47901383728691,973.2888514335286,839.0653825124228,387.9090899214232,936,10.479635239879164,3046.924233932901,2876.7955971854494,765.4065502433809,105,2.8682201460084613,7433.862432310319,6352.923610451201,3022.35767801474
2004,5.75996463670954,109014,284.4605044411012,153.63399175772574,528.7888468526586,0.5835216952670556,0.4339363795424506,0.7163725916678823,0.0113160151833517,0.585,0.56471825867,9811,33.123433247512004,1046.9509144164124,902.3042515924892,418.92393263178326,981,10.470011074023242,3309.652406844898,3013.5898383246204,865.0398794941553,110,3.11575711783625,8783.652823313307,7253.297110869551,4737.575942963746
2005,3.20213206130431,113323,379.5804662471768,213.259815532942,691.8854212798307,0.5795971476217483,0.4306613270045117,0.714600903591925,0.0120297006440194,0.582,0.563101304494,10199,33.03582751783173,1393.315653073172,1208.4722880200045,553.0298871695005,1020,10.473503533425191,4416.860976660353,4059.045155643662,1152.4390836574237,114,3.000766439489142,11322.680708362788,9477.977068335716,5667.718687043258
