year,layer,paper_table,test,estimator,parameter,estimate,standard_error,fit_metric,fit_value,criterion,passed,evidence_status,paper_2009_value,paper_2009_standard_error,difference_from_2009,relative_difference_pct,within_paper_1se
1979,refined,table_3,pareto,boundary,x_pmin,6.935027877303481,,pareto_ls_r2,0.3534494791526539,pareto_ls_r2 >= 0.98 and selected tail supported,False,fallback,40.0,,-33.06497212269652,-82.6624303067413,
1979,refined,table_3,pareto,lsf,alpha,0.9539471829935032,0.3488255177171259,pareto_ls_r2,0.3534494791526539,pareto_ls_r2 >= 0.98 and selected tail supported,False,fallback,3.09,0.17,-2.1360528170064965,-69.12792288046914,False
1979,refined,table_3,pareto,lsf,beta,6.392110916618058,7.790783720177381,pareto_ls_r2,0.3534494791526539,pareto_ls_r2 >= 0.98 and selected tail supported,False,fallback,49543.0,76479.0,-49536.60788908338,-99.98709785253897,True
1979,refined,table_3,pareto,lsf,correlation_coefficient,0.5945161723222119,,pareto_ls_r2,0.3534494791526539,pareto_ls_r2 >= 0.98 and selected tail supported,False,fallback,0.973,,-0.3784838276777881,-38.89864621560001,
1979,refined,table_3,pareto,mle,alpha,0.9131417615095891,0.0052070115736335,pareto_mle_r2,0.2491163657450407,finite direct MLE on observations x >= x_t,True,supported,3.09,0.09,-2.1768582384904107,-70.44848668253756,False
1979,refined,table_3,pareto,mle_continuity,beta,6.700259092173232,0.0675642126110409,pareto_mle_r2,0.2491163657450407,finite direct MLE on observations x >= x_t,True,supported,17464.0,38230.0,-17457.299740907827,-99.9616338805991,True
1979,refined,table_3,pareto,population,population_pct,1.0200092197629704,,pareto_ls_r2,0.3534494791526539,pareto_ls_r2 >= 0.98 and selected tail supported,False,fallback,,,,,
1979,refined,table_3,transition,boundary,x_t,6.935027877303481,,pareto_ls_r2,0.3534494791526539,descriptive reproduction quantity,,descriptive,23.5,16.5,-16.564972122696517,-70.48924307530433,False
1979,refined,table_4,income_share,gompertz,share_pct,59.80092233051767,,,,descriptive reproduction quantity,,descriptive,62.0,,-2.1990776694823357,-3.5468994669069924,
1979,refined,table_4,income_share,pareto,share_pct,40.199077669482335,,,,descriptive reproduction quantity,,descriptive,26.2,,13.999077669482336,53.43159415832952,
1979,refined,table_4,inequality,lorenz,gini,0.7288355532326778,,,,descriptive reproduction quantity,,descriptive,0.711,,0.0178355532326778,2.508516629068611,
1979,trusted,model_test,gompertz_vs_exponential,r2_comparison,delta_r2,0.019573217461391,,delta_r2,0.019573217461391,gompertz_free_r2 > exponential_r2,True,supported,,,,,
1979,trusted,table_1,annual_income,descriptive,mean_income_usd,348.838265715958,,,,descriptive reproduction quantity,,descriptive,122.531,,226.307265715958,184.6938862132505,
1979,trusted,table_2,gompertz,boundary,x_gmax,6.935027877303481,,gompertz_free_correlation_coefficient,0.959114398905715,correlation_coefficient >= 0.98,False,weak,6.92,,0.0150278773034813,0.2171658569867242,
1979,trusted,table_2,gompertz,free_lsf,A,1.557840581430473,0.0183708442265791,gompertz_free_correlation_coefficient,0.959114398905715,correlation_coefficient >= 0.98,False,weak,1.54,0.01,0.0178405814304729,1.158479313667075,False
1979,trusted,table_2,gompertz,free_lsf,B,0.5187213617369253,0.0555599363335351,gompertz_free_correlation_coefficient,0.959114398905715,correlation_coefficient >= 0.98,False,weak,0.44,0.01,0.0787213617369252,17.89121857657393,False
1979,trusted,table_2,gompertz,free_lsf,correlation_coefficient,0.959114398905715,,gompertz_free_correlation_coefficient,0.959114398905715,correlation_coefficient >= 0.98,False,weak,0.997,,-0.0378856010942849,-3.799959989396686,
1979,trusted,table_2,gompertz,population,population_pct,98.97999078023705,,gompertz_free_correlation_coefficient,0.959114398905715,correlation_coefficient >= 0.98,False,weak,98.9,,0.0799907802370398,0.0808804653559553,
1979,trusted,table_3,pareto,boundary,x_pmin,6.935027877303481,,pareto_ls_r2,0.3534494791526539,pareto_ls_r2 >= 0.98 and selected tail supported,False,fallback,40.0,,-33.06497212269652,-82.6624303067413,
1979,trusted,table_3,pareto,lsf,alpha,0.9539471829935032,0.3488255177171259,pareto_ls_r2,0.3534494791526539,pareto_ls_r2 >= 0.98 and selected tail supported,False,fallback,3.09,0.17,-2.1360528170064965,-69.12792288046914,False
1979,trusted,table_3,pareto,lsf,beta,6.392110916618058,7.790783720177381,pareto_ls_r2,0.3534494791526539,pareto_ls_r2 >= 0.98 and selected tail supported,False,fallback,49543.0,76479.0,-49536.60788908338,-99.98709785253897,True
1979,trusted,table_3,pareto,lsf,correlation_coefficient,0.5945161723222119,,pareto_ls_r2,0.3534494791526539,pareto_ls_r2 >= 0.98 and selected tail supported,False,fallback,0.973,,-0.3784838276777881,-38.89864621560001,
1979,trusted,table_3,pareto,mle,alpha,0.9131417615095891,0.0052070115736335,pareto_mle_r2,0.2491163657450407,finite direct MLE on observations x >= x_t,True,supported,3.09,0.09,-2.1768582384904107,-70.44848668253756,False
1979,trusted,table_3,pareto,mle_continuity,beta,6.700259092173232,0.0675642126110409,pareto_mle_r2,0.2491163657450407,finite direct MLE on observations x >= x_t,True,supported,17464.0,38230.0,-17457.299740907827,-99.9616338805991,True
1979,trusted,table_3,pareto,population,population_pct,1.0200092197629704,,pareto_ls_r2,0.3534494791526539,pareto_ls_r2 >= 0.98 and selected tail supported,False,fallback,,,,,
1979,trusted,table_3,transition,boundary,x_t,6.935027877303481,,pareto_ls_r2,0.3534494791526539,descriptive reproduction quantity,,descriptive,23.5,16.5,-16.564972122696517,-70.48924307530433,False
1979,trusted,table_4,income_share,gompertz,share_pct,59.80092233051767,,,,descriptive reproduction quantity,,descriptive,62.0,,-2.1990776694823357,-3.5468994669069924,
1979,trusted,table_4,income_share,pareto,share_pct,40.199077669482335,,,,descriptive reproduction quantity,,descriptive,26.2,,13.999077669482336,53.43159415832952,
1979,trusted,table_4,inequality,lorenz,gini,0.7288355532326778,,,,descriptive reproduction quantity,,descriptive,0.711,,0.0178355532326778,2.508516629068611,
