year,median_log1p,mad_log1p,scaled_dispersion_log1p,dispersion_method,mad_consistency,threshold_k,statistical_cutoff,n_refined,n_invalid_nan,n_invalid_inf,n_invalid_negative,n_invalid_structural,n_valid_before_trim,n_statistical_outlier,n_removed_total,n_trusted,structural_invalid_rate,statistical_removal_rate,total_removal_rate,maximum_valid_before_trim,maximum_after,raw_n,raw_n_nan,raw_n_inf,raw_n_negative,raw_n_zero,raw_n_positive,raw_min,raw_max,raw_mean,raw_median,raw_std,raw_q01,raw_q25,raw_q50,raw_q75,raw_q99,raw_sum,valid_n,valid_n_nan,valid_n_inf,valid_n_negative,valid_n_zero,valid_n_positive,valid_min,valid_max,valid_mean,valid_median,valid_std,valid_q01,valid_q25,valid_q50,valid_q75,valid_q99,valid_sum,trusted_n,trusted_n_nan,trusted_n_inf,trusted_n_negative,trusted_n_zero,trusted_n_positive,trusted_min,trusted_max,trusted_mean,trusted_median,trusted_std,trusted_q01,trusted_q25,trusted_q50,trusted_q75,trusted_q99,trusted_sum,input_file,output_file,read_seconds,trim_seconds,write_seconds,total_seconds
1987,7.558864448195184,0.7354351606620515,1.0903561691975574,scaled_mad,1.4826,6.0,1330413.9757580613,296508,3893,0,0,3893,292615,0,3893,292615,0.013129493976553752,0.0,0.013129493976553752,500000.0,500000.0,296508,3893,0,0,0,292615,3.0,500000.0,4000.636700914002,1916.6666666666667,7741.134848936022,160.0,937.3333333333334,1916.6666666666667,4040.0,33750.0,1170646308.2379508,292615,0,0,0,0,292615,3.0,500000.0,4000.636700914002,1916.6666666666667,7741.134848936022,160.0,937.3333333333334,1916.6666666666667,4040.0,33750.0,1170646308.2379508,292615,0,0,0,0,292615,3.0,500000.0,4000.636700914002,1916.6666666666667,7741.134848936022,160.0,937.3333333333334,1916.6666666666667,4040.0,33750.0,1170646308.2379508,pnad_refined_1987.parquet,pnad_trusted_1987.parquet,0.004747005000012905,0.051881976000004215,0.16353385000002163,0.22016283100003875
1988,9.498097441615604,0.7507866925625688,1.1131163503932644,scaled_mad,1.4826,6.0,10604568.424470395,293627,3994,0,0,3994,289633,0,3994,289633,0.013602291342417422,0.0,0.013602291342417422,4500000.0,4500000.0,293627,3994,0,0,0,289633,2.5,4500000.0,29877.355418587245,13333.333333333334,62085.83170904581,888.8888888888889,6457.142857142857,13333.333333333334,29211.666666666668,265430.0,8653468081.95168,289633,0,0,0,0,289633,2.5,4500000.0,29877.355418587245,13333.333333333334,62085.83170904581,888.8888888888889,6457.142857142857,13333.333333333334,29211.666666666668,265430.0,8653468081.95168,289633,0,0,0,0,289633,2.5,4500000.0,29877.355418587245,13333.333333333334,62085.83170904581,888.8888888888889,6457.142857142857,13333.333333333334,29211.666666666668,265430.0,8653468081.95168,pnad_refined_1988.parquet,pnad_trusted_1988.parquet,0.005277713999987554,0.053041321000023345,0.028651475000003757,0.08697051000001466
1989,6.948705265311091,0.8733592342224066,1.2948424006581398,scaled_mad,1.4826,6.0,2465140.2579167406,300586,187018,0,0,187018,113568,0,187018,113568,0.6221780122826746,0.0,0.6221780122826746,625002.0,625002.0,300586,187018,0,0,50,113518,0.0,625002.0,2958.627834103776,1040.8,8534.331979992949,46.23076923076923,498.4,1040.8,2567.625,30002.0,336005445.8634976,113568,0,0,0,50,113518,0.0,625002.0,2958.627834103776,1040.8,8534.331979992949,46.23076923076923,498.4,1040.8,2567.625,30002.0,336005445.8634976,113568,0,0,0,50,113518,0.0,625002.0,2958.627834103776,1040.8,8534.331979992949,46.23076923076923,498.4,1040.8,2567.625,30002.0,336005445.8634976,pnad_refined_1989.parquet,pnad_trusted_1989.parquet,0.00497763299995313,0.03436238800003366,0.011092304999976932,0.05043232599996372
1990,10.357822186743848,0.8674478720857177,1.286078215154285,scaled_mad,1.4826,6.0,70723711.99477115,305794,190009,0,0,190009,115785,0,190009,115785,0.6213627474705193,0.0,0.6213627474705193,25000004.0,25000004.0,305794,190009,0,0,196,115589,0.0,25000004.0,80747.4011213423,31501.5,211427.28391755544,1500.2,14000.6,31501.5,76251.25,750003.5,9349337838.834618,115785,0,0,0,196,115589,0.0,25000004.0,80747.4011213423,31501.5,211427.28391755544,1500.2,14000.6,31501.5,76251.25,750003.5,9349337838.834618,115785,0,0,0,196,115589,0.0,25000004.0,80747.4011213423,31501.5,211427.28391755544,1500.2,14000.6,31501.5,76251.25,750003.5,9349337838.834618,pnad_refined_1990.parquet,pnad_trusted_1990.parquet,0.004869666999979927,0.03481375199999093,0.17162358900003483,0.21130700800000568
1992,12.936036208848487,0.6948674159324888,1.0302104308615079,scaled_mad,1.4826,6.0,200695378.98954552,76440,0,0,0,0,76440,0,0,76440,0.0,0.0,0.0,125500000.0,125500000.0,76440,0,0,0,1118,75322,0.0,125500000.0,790108.087158418,415000.0,1583958.8649833836,0.0,202836.16964285716,415000.0,816152.5,6129358.365000002,60395862182.38947,76440,0,0,0,1118,75322,0.0,125500000.0,790108.087158418,415000.0,1583958.8649833836,0.0,202836.16964285716,415000.0,816152.5,6129358.365000002,60395862182.38947,76440,0,0,0,1118,75322,0.0,125500000.0,790108.087158418,415000.0,1583958.8649833836,0.0,202836.16964285716,415000.0,816152.5,6129358.365000002,60395862182.38947,pnad_refined_1992.parquet,pnad_trusted_1992.parquet,0.004505709999989449,0.018788531999973657,0.04638133399998878,0.06967557599995189
1993,9.067354906294602,0.6930894932444076,1.0275744826841586,scaled_mad,1.4826,6.0,4125928.1563061425,77843,0,0,0,0,77843,0,0,77843,0.0,0.0,0.0,4017500.0,4017500.0,77843,0,0,0,1025,76818,0.0,4017500.0,17499.86112474671,8666.666666666666,38989.91766117366,0.0,4275.0,8666.666666666666,17142.85714285714,152452.25000000015,1362241689.533658,77843,0,0,0,1025,76818,0.0,4017500.0,17499.86112474671,8666.666666666666,38989.91766117366,0.0,4275.0,8666.666666666666,17142.85714285714,152452.25000000015,1362241689.533658,77843,0,0,0,1025,76818,0.0,4017500.0,17499.86112474671,8666.666666666666,38989.91766117366,0.0,4275.0,8666.666666666666,17142.85714285714,152452.25000000015,1362241689.533658,pnad_refined_1993.parquet,pnad_trusted_1993.parquet,0.002638572000023487,0.018231103999994502,0.0695002669999667,0.09036994299998469
1995,4.77912349311153,0.7015860492058099,1.0401714765525336,scaled_mad,1.4826,6.0,61091.98656656969,83455,0,0,0,0,83455,0,0,83455,0.0,0.0,0.0,23000.0,23000.0,83455,0,0,0,1209,82246,0.0,23000.0,251.17817743922058,118.0,486.0617795082694,0.0,60.0,118.0,250.0,2166.6666666666665,20962074.798190154,83455,0,0,0,1209,82246,0.0,23000.0,251.17817743922058,118.0,486.0617795082694,0.0,60.0,118.0,250.0,2166.6666666666665,20962074.798190154,83455,0,0,0,1209,82246,0.0,23000.0,251.17817743922058,118.0,486.0617795082694,0.0,60.0,118.0,250.0,2166.6666666666665,20962074.798190154,pnad_refined_1995.parquet,pnad_trusted_1995.parquet,0.0023981400000252506,0.020673562000013135,0.06675922099998388,0.08983092300002227
1996,4.890349128221754,0.7288432781338283,1.0805830441612139,scaled_mad,1.4826,6.0,87015.0090858066,82551,0,0,0,0,82551,0,0,82551,0.0,0.0,0.0,30000.0,30000.0,82551,0,0,0,1677,80874,0.0,30000.0,283.7468729715608,132.0,541.8219154288261,0.0,66.66666666666667,132.0,288.5,2430.75,23423588.110675313,82551,0,0,0,1677,80874,0.0,30000.0,283.7468729715608,132.0,541.8219154288261,0.0,66.66666666666667,132.0,288.5,2430.75,23423588.110675313,82551,0,0,0,1677,80874,0.0,30000.0,283.7468729715608,132.0,541.8219154288261,0.0,66.66666666666667,132.0,288.5,2430.75,23423588.110675313,pnad_refined_1996.parquet,pnad_trusted_1996.parquet,0.0023055409999983567,0.01882171599999083,0.09685956399999895,0.11798682099998814
1997,4.936869143856646,0.7222754534829683,1.0708455873338487,scaled_mad,1.4826,6.0,85985.24906513943,87988,0,0,0,0,87988,0,0,87988,0.0,0.0,0.0,53820.0,53820.0,87988,0,0,0,1514,86474,0.0,53820.0,296.8638742859821,138.33333333333334,602.6969891096128,0.0,70.0,138.33333333333334,300.0,2500.0,26120458.570674993,87988,0,0,0,1514,86474,0.0,53820.0,296.8638742859821,138.33333333333334,602.6969891096128,0.0,70.0,138.33333333333334,300.0,2500.0,26120458.570674993,87988,0,0,0,1514,86474,0.0,53820.0,296.8638742859821,138.33333333333334,602.6969891096128,0.0,70.0,138.33333333333334,300.0,2500.0,26120458.570674993,pnad_refined_1997.parquet,pnad_trusted_1997.parquet,0.0024558119999937844,0.020425308000028508,0.208319476999975,0.2312005969999973
1998,4.981320906427481,0.7186410293861654,1.0654571901679286,scaled_mad,1.4826,6.0,87033.8635160188,88562,0,0,0,0,88562,0,0,88562,0.0,0.0,0.0,40500.0,40500.0,88562,0,0,0,1432,87130,0.0,40500.0,312.3489798541759,144.66666666666666,625.4432112744173,0.0,75.0,144.66666666666666,306.6666666666667,2767.9874999999993,27662250.35384553,88562,0,0,0,1432,87130,0.0,40500.0,312.3489798541759,144.66666666666666,625.4432112744173,0.0,75.0,144.66666666666666,306.6666666666667,2767.9874999999993,27662250.35384553,88562,0,0,0,1432,87130,0.0,40500.0,312.3489798541759,144.66666666666666,625.4432112744173,0.0,75.0,144.66666666666666,306.6666666666667,2767.9874999999993,27662250.35384553,pnad_refined_1998.parquet,pnad_trusted_1998.parquet,0.0030532370000173614,0.02154808799997454,0.03412455500000533,0.05872587999999723
