year,normalization_mean,cutoff_normalized,cutoff_income_adj,cutoff_quantile,n_total,n_body,n_tail,body_fraction,tail_fraction,gompertz_A,gompertz_B,gompertz_r2,pareto_alpha,pareto_beta,pareto_r2,body_sse_logF,tail_sse_logF,joint_sse
1992,319.2575000347547,5.041922419714018,1609.6715470870784,0.9761955338413744,75322,73529,1793,0.9761955338413744,0.023804466158625633,1.5271796258079011,0.3176893807495723,0.9981207671519572,2.2456109162365685,95.68381634003822,0.9947831637310618,0.5092335120072277,1.8787182103653892,2.387951722372617
1993,356.6437655311534,6.262329721466666,2233.420852861531,0.9815538024942071,76818,75401,1417,0.9815538024942071,0.018446197505792912,1.5271796258079011,0.3106710872639995,0.996654637112262,2.2489946118357325,119.58569322116473,0.9920607019505295,0.9236318679437352,3.249527028127293,4.173158896071028
1995,566.5207657533582,8.117901882291438,4598.959990666373,0.9888748388979404,82246,81331,915,0.9888748388979404,0.011125161102059675,1.5271796258079011,0.32393723728823537,0.992084341605438,2.832346614303126,524.8818793145608,0.9887019106612679,0.8445151815352975,2.368452319603698,3.2129675011389955
1996,584.2302970253653,7.9157931281303755,4624.646170438955,0.9884759007839355,80874,79942,932,0.9884759007839355,0.011524099216064496,1.5271796258079011,0.32324902650973836,0.9881555267828229,2.8992820536339647,575.1593517075804,0.9828775973548695,0.7497272867510888,4.5182735718032845,5.268000858554373
1997,555.5779504636478,6.556556210728161,3642.6780616560523,0.9823877697342553,86474,84951,1523,0.9823877697342553,0.017612230265744617,1.5271796258079011,0.3092612559514972,0.9971025141203075,2.4767215050840767,193.17784475386065,0.9851984178166119,0.7550330647775538,5.681749195467195,6.436782260244749
1998,533.1656956356327,6.877488014017715,3666.8406812194808,0.9839091013428211,87130,85728,1402,0.9839091013428211,0.01609089865717893,1.5271796258079011,0.30670741708953825,0.9967185047115587,2.5251276731154246,227.63781688906775,0.9937149428367947,0.9259262940335216,1.7222957592724422,2.6482220533059637
1999,322.8328372731745,8.327110390562124,2688.2646736721026,0.989576417474439,90372,89430,942,0.989576417474439,0.010423582525561014,1.5271796258079011,0.33460241766950105,0.9719832059650203,3.0309020025834394,818.8972511151838,0.9900842792445578,1.1888792401023254,2.244068766145522,3.4329480062478472
2001,250.52313570996824,8.314794322601502,2083.0483464815698,0.9893407542847957,99538,98477,1061,0.9893407542847957,0.010659245715204244,1.5271796258079011,0.32591615094891657,0.9907904953647897,2.9244480165209312,665.4898244330334,0.9912167060368221,0.7887493111030346,2.335305132141589,3.124054443244624
2002,214.31002855590316,7.480796399889759,1603.209690081272,0.9862632806173719,102499,101091,1408,0.9862632806173719,0.013736719382628123,1.5271796258079011,0.3158576293735715,0.9950271143679227,2.843439539230579,471.3220061908851,0.986781715306743,0.8039936426662183,3.1891608298126286,3.993154472478847
2003,261.6397433348956,7.58335910106314,1984.1081288185048,0.9879053579840982,104013,102755,1258,0.9879053579840982,0.012094642015901859,1.5271796258079011,0.3280479293373624,0.9915028602145755,2.936314892207168,562.0198684756909,0.9921594847316025,0.7332131997821629,1.829893031911269,2.563106231693432
2004,284.4605044411012,6.83778807424459,1945.080644860962,0.9854238905094759,109014,107425,1589,0.9854238905094759,0.014576109490524153,1.5271796258079011,0.32058413450455736,0.9961375191668635,2.632965882341193,264.041000418736,0.9952315214682138,0.7127967506810495,1.4217082511560748,2.134505001837124
2005,379.5804662471769,7.136338837249875,2708.8148231411437,0.9866576070171104,113323,111811,1512,0.9866576070171104,0.013342392982889617,1.5271796258079011,0.3246493792080732,0.9955645610270107,2.750485191955763,350.4670382442556,0.9942002145354848,0.7522997224945014,1.7182756678403293,2.4705753903348304
2006,436.93652460957753,7.0885540452800555,3097.2481690518293,0.9868780754510662,115227,113715,1512,0.9868780754510662,0.013121924548933843,1.5271796258079011,0.33053361042577456,0.993941961155143,2.7614652810418616,347.4262113867584,0.9941337746184324,0.8834038180917794,2.01682076119793,2.9002245792897092
2007,522.7813351801577,7.25163359696013,3791.0186940561066,0.9876524672984693,113221,111823,1398,0.9876524672984693,0.012347532701530635,1.5271796258079011,0.34107102666047345,0.9919724610358112,2.7951500518347565,374.6760788546255,0.9916735593517318,1.0950402978189446,1.9972227914805307,3.0922630892994754
2008,590.8549033709036,7.186600144212775,4246.237933774161,0.9883085345931387,113245,111921,1324,0.9883085345931387,0.01169146540686123,1.5271796258079011,0.342227568761711,0.993796070112622,2.7721454319929184,351.05171812221727,0.9939388460495377,1.201056644459172,1.8409661264702077,3.0420227709293797
2009,636.8295046612242,6.003451521960871,3823.175058988014,0.9829607063561728,116202,114222,1980,0.9829607063561728,0.017039293643827128,1.5271796258079011,0.3330015274824719,0.9968212783189838,2.534675816706341,175.34469666567782,0.9943833594322876,1.0464487081646103,1.7026345145289459,2.749083222693556
2011,747.5173858471088,6.467026756834483,4834.214935472219,0.9857163316942761,104735,103239,1496,0.9857163316942761,0.01428366830572397,1.5271796258079011,0.34407466871114,0.9946768454343431,2.8166256627593533,315.9047131390126,0.9961274817110137,1.537982620341857,1.2091379185744564,2.747120538916313
2012,713.2815291380979,6.022368125641718,4295.643945690264,0.9853325240932833,108744,107149,1595,0.9853325240932833,0.014667475906716692,1.5271796258079011,0.34697817868876546,0.995433480790901,2.663802784160062,211.16018733358715,0.9943131251963641,1.7155298476941705,1.5235978187967638,3.2391276664909343
2013,691.9632268598934,5.759355551090808,3985.2622517662353,0.9829236478542034,108864,107005,1859,0.9829236478542034,0.01707635214579659,1.5271796258079011,0.34086296461445514,0.9960554724994151,2.6703070446347854,204.76810112312356,0.99501080516826,1.5980436886324052,1.0054438235561831,2.6034875121885883
2014,720.5192007201913,5.8366343035881965,4205.407083317417,0.9839720583343546,114238,112407,1831,0.9839720583343546,0.016027941665645407,1.5271796258079011,0.34499933916680586,0.9955595621144917,2.7878684653842627,252.90956372914405,0.995703678861592,1.7958700253147504,1.0660989202808204,2.861968945595571
2015,439.02070211217034,6.6173478426643255,2905.1526960069477,0.9875239255263616,114940,113506,1434,0.9875239255263616,0.01247607447363842,1.5271796258079011,0.3561290418831145,0.9913314698292108,3.2019052337856246,656.4932119947206,0.9880125081402952,2.25321684526039,3.8282101417543513,6.081426987014741
2016,724.2162452144747,5.971001840272999,4324.29653293123,0.9884977435035969,229781,227138,2643,0.9884977435035969,0.011502256496403096,1.5271796258079011,0.3635737786614106,0.9916141109752904,3.7126794347545444,1286.365468332488,0.7948236420911092,3.7946244724438984,11.767942723668721,15.562567196112619
2017,780.5852766171955,5.989905446293369,4675.631999705755,0.9874608836466289,228485,225620,2865,0.9874608836466289,0.012539116353371118,1.5271796258079011,0.3775930331274897,0.9726133827062848,3.5170394691992963,876.0996067246057,0.8029966359901122,4.447326865809152,18.87085564372113,23.31818250953028
2018,612.3017078335542,6.265034580258797,3836.091373128736,0.987880388144432,227235,224481,2754,0.987880388144432,0.012119611855568025,1.5271796258079011,0.37617600736171947,0.9818975655319963,3.2501927675214493,602.0173446508685,0.9580675571649705,3.95845711767884,5.049814273103352,9.008271390782191
2019,628.0161927738719,6.432235709534665,4039.548181326105,0.9874697511267011,225215,222393,2822,0.9874697511267011,0.012530248873298847,1.5271796258079011,0.3723939525051912,0.9851352266686494,3.0519595415945537,446.04014684258505,0.9540318746273454,3.6337342504902814,8.370474823949456,12.004209074439737
2020,508.3830659687131,8.327456810239884,4233.538024911792,0.9931913868030398,132773,131869,904,0.9931913868030398,0.006808613196960226,1.5271796258079011,0.3753106635701034,0.9823756396564575,6.698579573268212,1794591.7770815836,0.7586549879493351,5.2256355772447405,5.6025081493784255,10.828143726623166
2021,478.3538045705561,6.109571558670432,2922.5367993860636,0.9872758920800696,172350,170157,2193,0.9872758920800696,0.012724107919930375,1.5271796258079011,0.37645182057445065,0.9836319469563823,4.131792072182776,2806.45996442983,0.7956268990419122,4.652100130563896,8.793658540434397,13.445758670998291
2022,518.5004735499999,6.1417145551718795,3184.4819052655466,0.9881766631591254,205272,202845,2427,0.9881766631591254,0.011823336840874547,1.5271796258079011,0.3621096130674271,0.991097969992557,3.306187994240886,664.6460615601316,0.9153388137591821,3.4425750598003657,6.153711748934002,9.596286808734368
2023,579.5356416565653,5.9624124038582496,3455.430498291055,0.9871172970107174,201821,199221,2600,0.9871172970107174,0.012882702989282582,1.5271796258079011,0.36379246953419964,0.9835272598821702,3.3652092515749787,688.688097945185,0.9113199664020776,3.53795553823329,10.047831766366787,13.585787304600078
2024,548.5700430550867,8.094688903815854,4440.503840483795,0.9925912054776104,208266,206723,1543,0.9925912054776104,0.0074087945223896366,1.5271796258079011,0.3845589937441448,0.9832934871706319,4.193135184960095,7891.343594579884,0.9246900621632785,5.5332176182176696,6.182434176518308,11.715651794735978
2025,599.976711892788,6.275268309091892,3765.014846333969,0.9898249671436068,215331,213140,2191,0.9898249671436068,0.01017503285639318,1.5271796258079011,0.3687119849294023,0.9885683076609568,3.846225000050035,1843.5267307518664,0.8273981096848793,3.8546416842298536,14.391555732533142,18.246197416762996
