year,layer,bootstrap_reps,gompertz_B_bootstrap_se,gompertz_A_free_bootstrap_se,gompertz_B_free_bootstrap_se,pareto_alpha_ls_bootstrap_se,pareto_beta_ls_bootstrap_se,pareto_alpha_mle_bootstrap_se,pareto_beta_mle_bootstrap_se
2007,trusted,1000,0.01885305126323361,0.00983785867639362,0.02034804436386726,0.0659981665469707,88.91658621777829,0.06597936449108135,29.372832920976162
2008,trusted,1000,0.032149419433839574,0.019406189303434906,0.03591531983547163,0.042737936990013846,60.83444698186966,0.06571442925072178,23.400460323648435
2009,trusted,1000,0.039327000392478294,0.02121725644015902,0.043658452968363404,0.03822410754735639,18.857330153270016,0.06600058509126032,24.53249927301433
2011,trusted,1000,0.01871838163221109,0.009204349022404414,0.020732608724864487,0.03403942202414331,35.224763411756385,0.06275827688342747,21.29253007812553
2012,trusted,1000,0.029892451118422085,0.013930868101412213,0.03229770471999157,0.05869384775695158,43.403923640536874,0.060946672944064854,14.327749199887831
2013,trusted,1000,0.017202009101524415,0.007742484832295992,0.018594267125182206,0.04884096256038069,27.431304158725457,0.06666680074119595,28.961148308412362
2014,trusted,1000,0.02645460452172781,0.01188257162752322,0.028450998419812534,0.049080463154838556,46.27550500263681,0.06510869111766715,23.816156269236895
2015,trusted,1000,0.018005224526442768,0.010325386705410996,0.019587488546548203,0.08219314913695551,265.2784012669433,0.057797649953905884,21.672179671713856
2016,trusted,1000,0.03393047837931002,0.017779282522668662,0.039714285909320905,1.046557763660748,105837319.95132993,0.04602068984736378,30.760330012704134
2017,trusted,1000,0.024189596007174078,0.011699147907930127,0.02543097362862344,0.7832084104899544,1953761.5087907356,0.03225625321297643,6.590041942214693
2018,trusted,1000,0.029789440659884515,0.016022759152975078,0.03088509370387448,0.18874139497230127,9785.640059759346,0.05642471598756176,59.15862689929016
2019,trusted,1000,0.020578264249263758,0.010307203875827918,0.02102382426445902,0.22698319120525462,862.7811385009159,0.0541276405805524,32.222506648731034
2020,trusted,1000,0.011426878591718894,0.006461737377961237,0.012093771269963319,1.2334762173542053,3120579.735421977,0.06279053276732785,91.22512685641435
2021,trusted,1000,0.02193288690289934,0.010058926495280281,0.02327366346763759,0.7921868965373086,420220.56117687107,0.05721937276020008,94.62540461347018
2022,trusted,1000,0.024020873982591586,0.011812550126738293,0.02641167095535968,1.2325500358892527,1.6624540591378178e+16,0.10294482154713955,1278.7870247158796
2023,trusted,1000,0.030814689557137512,0.01659405076803655,0.03401932589859356,0.48771121177776916,18088.276412267784,0.04818138336448972,20.332059108947764
2024,trusted,1000,0.015381837192755056,0.008157518204095588,0.016263116364127063,0.331882383876196,3334.582677021674,0.06247012292185388,65.77640867451524
2025,trusted,1000,0.009292055757582955,0.00501815669997772,0.009270858103782885,4.241891383132851,1.712225390357641e+36,0.10404060313730694,1924.1134247820348
