year,population_share,income_share
1976,0.063,0.004528426391444679
1976,0.064,0.0046415209552828325
1976,0.065,0.004754615519120984
1976,0.066,0.004867710082959137
1976,0.067,0.00498080464679729
1976,0.068,0.005093899210635443
1976,0.069,0.005207679809495539
1976,0.07,0.00532648681986559
1976,0.07100000000000001,0.0054517104206995536
1976,0.07200000000000001,0.005578376332198246
1976,0.073,0.0057102432811947995
1976,0.074,0.005845956757800519
1976,0.075,0.005981670234406238
1976,0.076,0.006117383711011958
1976,0.077,0.006253097187617678
1976,0.078,0.006388810664223398
1976,0.079,0.006524524140829194
1976,0.08,0.006660237617435021
1976,0.081,0.006795951094040845
1976,0.082,0.006931664570646671
1976,0.083,0.007067378047252497
1976,0.084,0.007203091523858321
1976,0.085,0.007338805000464147
1976,0.08600000000000001,0.007474518477069973
1976,0.08700000000000001,0.0076102319536757975
1976,0.088,0.007745945430281622
1976,0.089,0.007881658906887447
1976,0.09,0.008017372383493272
1976,0.091,0.008153085860099097
1976,0.092,0.008288799336704924
1976,0.093,0.008424512813310749
1976,0.094,0.008560226289916574
1976,0.095,0.0086959397665224
1976,0.096,0.008831653243128224
1976,0.097,0.008967366719734051
1976,0.098,0.009103080196339876
1976,0.099,0.009238793672945701
1976,0.1,0.009374507149551526
1976,0.101,0.009511162258993958
1976,0.10200000000000001,0.009654797956940834
1976,0.10300000000000001,0.009799558998653686
1976,0.10400000000000001,0.009945028812131126
1976,0.105,0.010092902382208509
1976,0.106,0.010240830071708685
1976,0.107,0.010389130387092651
1976,0.108,0.010541453337711873
1976,0.109,0.010698844819824421
1976,0.11,0.010857177209197709
1976,0.111,0.011015509598570993
1976,0.112,0.011173841987944282
1976,0.113,0.011332174377317568
1976,0.114,0.011490506766690854
1976,0.115,0.011648839156064142
1976,0.116,0.011807417168108405
1976,0.117,0.011969923819779352
1976,0.11800000000000001,0.012132779991706257
1976,0.11900000000000001,0.012295636163633165
1976,0.12,0.012458839514461997
1976,0.121,0.012622600442899626
1976,0.122,0.012787810340227532
1976,0.123,0.01295484162197348
1976,0.124,0.013124726575275391
1976,0.125,0.013296630312309536
1976,0.126,0.01346853404934368
1976,0.127,0.013640437786377827
1976,0.128,0.013812616120338926
1976,0.129,0.013986082650213416
1976,0.13,0.014159795900268585
1976,0.131,0.014333509150323756
1976,0.132,0.014507222400378923
1976,0.133,0.014680935650434093
1976,0.134,0.014854648900489261
1976,0.135,0.01502836215054443
1976,0.136,0.0152020754005996
1976,0.137,0.015375788650654768
1976,0.138,0.015549501900709936
1976,0.139,0.015723215150765104
1976,0.14,0.015896928400820274
1976,0.14100000000000001,0.01607064165087544
1976,0.14200000000000002,0.016244354900930614
1976,0.14300000000000002,0.01641806815098578
1976,0.14400000000000002,0.016591781401040947
1976,0.145,0.016765494651096117
1976,0.146,0.016939207901151283
1976,0.147,0.017113350332374835
1976,0.148,0.0172890839331622
1976,0.149,0.017469544197268594
1976,0.15,0.01765049549940955
1976,0.151,0.017831446801550514
1976,0.152,0.018012398103691474
1976,0.153,0.01819334940583243
1976,0.154,0.01837430070797339
1976,0.155,0.01855525201011435
1976,0.156,0.018736203312255312
1976,0.157,0.018917154614396272
1976,0.158,0.019098105916537232
1976,0.159,0.01927905721867819
1976,0.16,0.01946000852081915
1976,0.161,0.01964095982296011
1976,0.162,0.019821911125101066
1976,0.163,0.02000286242724203
1976,0.164,0.020183813729382986
1976,0.165,0.020364765031523943
1976,0.166,0.020545716333664907
1976,0.167,0.020726667635805864
1976,0.168,0.020907618937946824
1976,0.169,0.021088570240087784
1976,0.17,0.021269521542228744
1976,0.171,0.0214504728443697
1976,0.17200000000000001,0.021631424146510665
1976,0.17300000000000001,0.02181237544865162
1976,0.17400000000000002,0.021993326750792578
1976,0.17500000000000002,0.02217427805293354
1976,0.176,0.022355229355074495
1976,0.177,0.02253618065721545
1976,0.178,0.022717884893691902
1976,0.179,0.022905267255133137
1976,0.18,0.023095266122381334
1976,0.181,0.023288196163661925
1976,0.182,0.02348496974488631
1976,0.183,0.023686791078087174
1976,0.184,0.023890361292995807
1976,0.185,0.02409393150790444
1976,0.186,0.02429750172281307
1976,0.187,0.024501071937721705
