year,N,N_valid,n_nan,n_zero,n_negative,xmin_positive_nominal,xmax_nominal,mean_nominal,median_nominal,std_nominal,income_sum_nominal,xmin_positive,xmax,mean,median,std,income_sum,Gini,Pietra,Kolkata,Kolkata_pct,Zanardi,top_10,top_1,top_01,income_observation_n,income_mean_2025_usd,income_median_2025_usd,income_std_2025_usd,p90_p99_population_n,p90_p99_income_share_pct,p90_p99_mean_income_2025_usd,p90_p99_median_income_2025_usd,p90_p99_std_income_2025_usd,p99_p999_population_n,p99_p999_income_share_pct,p99_p999_mean_income_2025_usd,p99_p999_median_income_2025_usd,p99_p999_std_income_2025_usd,p999_p100_population_n,p999_p100_income_share_pct,p999_p100_mean_income_2025_usd,p999_p100_median_income_2025_usd,p999_p100_std_income_2025_usd,IPEA,Banco_Mundial,diff_IPEA,diff_Banco_Mundial
1999,91737,91737,0,1365,0,0.3333333333333333,28445.0,312.3955307807227,147.5,586.008998362155,28658228.807231158,0.339344641828083,28957.975010399467,318.02924850443475,150.16000400892676,596.5770409717176,29175049.17005133,0.6040101548852397,0.4540226873128804,0.7264320631362278,72.64320631362278,0.009678789363287052,0.4877913371632804,0.14076024513016427,0.029930660983984336,90372,322.8328372731745,152.70508882263735,599.7742178515045,8134,34.504018625464184,1237.5909023386823,1068.9356217584616,490.1795776889423,813,10.975548127539675,3938.648908846676,3597.7318926613366,1015.3074630852816,91,2.975662205328469,9540.119907024336,8327.517510461157,3606.6825652280104,0.608,0.589512228762,-0.003989845114760304,0.014497926123239635
2001,101423,101423,0,1885,0,0.3333333333333333,40000.0,360.8100437669634,180.0,696.2172897722613,36594437.06897673,0.227143557687889,27257.226922546677,245.86703097225305,122.65752115146006,474.4238163680741,24936571.88229882,0.6045135448171821,0.4520930391603373,0.7255668078822596,72.55668078822596,0.009596326574370944,0.4885583255426713,0.1448667815668232,0.03185406826275572,99538,250.52313570996824,122.65752115146006,477.6755578046235,8958,34.12748023102755,950.0138021240795,817.7168076764003,391.72987566197173,896,11.173596984042916,3109.723263129726,2896.0803605205847,756.4160054665072,100,3.1546067213785163,7866.507726803838,6814.306730636669,3351.339506652523,0.61,0.58402876478,-0.005486455182817873,0.020484780037182126
2002,103914,103914,0,1415,0,0.2,38000.0,393.93053258231384,200.0,730.338382740047,40934897.36275856,0.10732438595014578,20391.633330527697,211.3917625820536,107.32438595014577,391.91559231699046,21966563.616951518,0.5957395428732748,0.44543005185612716,0.7222218077771546,72.22218077771547,0.010261012265452266,0.48115579160568045,0.13711400319091915,0.029270232585336342,102499,214.31002855590313,107.32438595014577,393.81829876499637,9225,34.227201668184904,815.0178892947563,697.6085086759475,327.16271638607793,922,10.685797765303777,2545.881305959043,2414.79868387828,610.0203493616265,103,2.909160748867739,6204.29753999432,5258.894911557143,2960.0786633811404,0.603,0.58105672714,-0.007260457126725184,0.01468281573327479
2003,105676,105676,0,1663,0,0.14285714285714285,38000.0,429.6820416424124,232.0,775.8540375791118,45407079.432603575,0.08561891658290029,22774.63181105148,257.52237616386407,139.0451205306301,464.9944748679466,27213934.623492498,0.5883019899185813,0.4380738088308902,0.7184705153823643,71.84705153823643,0.009552595308154053,0.4716450338467122,0.1347296592454047,0.02881618937726138,104013,261.63974333489557,142.34144881907176,467.54638729318646,9361,33.4790138372869,973.2888514335287,839.0653825124228,387.9090899214232,936,10.479635239879164,3046.9242339329016,2876.79559718545,765.4065502433809,105,2.868220146008461,7433.862432310319,6352.923610451202,3022.35767801474,0.596,0.575533879723,-0.0076980100814186825,0.012768110195581328
2004,110351,110351,0,1337,0,1.0,61250.0,475.56951908002645,260.0,891.0074390093745,52479572.0,0.5908999682989451,36192.62305831039,281.0140137483322,153.63399175772574,526.4962674647636,31010177.431142207,0.5835216952670556,0.4339363795424506,0.7163725916678823,71.63725916678823,0.011316015183351727,0.469628239346192,0.13681119579259082,0.031224454345841868,109014,284.4605044411012,153.63399175772574,528.7888468526586,9811,33.123433247512004,1046.9509144164124,902.3042515924891,418.92393263178326,981,10.470011074023242,3309.652406844898,3013.5898383246204,865.0398794941553,110,3.11575711783625,8783.652823313307,7253.297110869551,4737.575942963746,0.585,0.56471825867,-0.0014783047329444132,0.018803436597055523
2005,114576,114576,0,1253,0,1.0,64533.0,528.1295733836056,295.0,969.5543630883552,60510974.0,0.7108660517764732,45874.318919291145,375.4293846575969,209.70548527405958,689.2232820712723,43015197.17652883,0.5795971476217483,0.43066132700451176,0.714600903591925,71.46009035919249,0.012029700644019425,0.4673872874695316,0.13558380005586212,0.03010761320750388,113323,379.58046624717684,213.25981553294196,691.8854212798307,10199,33.03582751783173,1393.3156530731721,1208.4722880200043,553.0298871695005,1020,10.473503533425193,4416.860976660353,4059.045155643662,1152.4390836574235,114,3.000766439489142,11322.680708362788,9477.977068335716,5667.718687043258,0.582,0.563101304494,-0.002402852378251663,0.016495843127748322
2006,116333,116333,0,1106,0,1.0,79400.0,587.0347536812426,330.0,1058.1537565041779,68291514.0,0.7372348623166823,58536.44806794458,432.7824858052985,243.2875045645052,780.1078389862378,50346884.92118779,0.5710157172380892,0.42327988041732,0.7107741295824812,71.07741295824812,0.013029335515811908,0.4606905771630052,0.13262658812917283,0.0297290732929949,115227,436.9365246095776,245.49920915145523,782.6841845726926,10370,32.683910038954465,1586.8206919052027,1382.3153668437794,630.6436139586342,1037,10.221978678053613,4962.823376767605,4570.8561463634305,1227.2371157495181,116,2.967190037696337,12878.342704068307,10978.532952188874,6556.788135245381,0.575,0.556422105694,-0.003984282761910762,0.014593611544089224
2007,115112,115112,0,1891,0,1.0,60000.0,628.2308708040864,365.0,1120.6388194434421,72316912.0,0.8184783325708466,49108.69995425079,514.1933556052595,298.74459138835897,917.2185923522305,59189825.55043264,0.5668787248530293,0.41807265663797866,0.7082489914938854,70.82489914938854,0.01228012748667171,0.45521412750575785,0.13219162344750846,0.030446748057924244,113221,522.7813351801578,306.9293747140674,922.4161167743719,10190,32.089215866960686,1863.9402249416862,1636.956665141693,743.8372954885683,1019,10.068095827985575,5848.173068532924,5401.956994967587,1483.4593603575242,114,3.0257846186795145,15710.145941475686,12891.033737990832,6812.126849888032,0.568,0.549191681065,-0.0011212751469706905,0.01768704378802921
2008,114821,114821,0,1576,0,2.0,85000.0,707.9154248787243,415.0,1259.5252391026913,81283557.0,1.6463689828986685,69970.68177319341,582.744999017932,341.6215639514737,1036.8216434183503,66911363.53223797,0.5598349140987711,0.4124621131797489,0.7053452328369219,70.53452328369218,0.01361217584029363,0.45055356152794124,0.13082532965445115,0.03095530920246703,113245,590.8549033709036,341.6215639514737,1041.7139266449044,10192,31.79253215997917,2087.207296866889,1811.005881188535,819.1272913834629,1019,9.897795196142807,6499.263714786555,5906.348726148973,1724.4370138307543,114,3.080541861621533,18080.987401687325,15124.780253644341,8223.37739562588,0.558,0.540375889542,0.0018349140987710122,0.019459024556771065
2009,117827,117827,0,1625,0,1.0,94669.0,760.8806046152409,451.0,1355.6017941113585,89652279.0,0.8254208696763146,78141.76831138702,628.0467303813521,372.2648122240178,1118.9420118301696,74000862.10064358,0.5559048100990898,0.4087625735560034,0.7034998610165881,70.34998610165881,0.013360278541961002,0.4462759290258307,0.1289667382578341,0.030512163555952987,116202,636.8295046612242,383.8207043994862,1124.2539480749865,10458,31.55335738871736,2232.717201123347,1939.739043739339,867.5968459428744,1046,9.75709942632914,6902.808500478502,6520.824870442884,1776.6898136352127,117,3.037379562877593,19211.000528189557,16267.394499580805,10725.877882304796,0.554,0.536820020289,0.0019048100990897154,0.019084789810089764
2011,106448,106448,0,1713,0,1.0,100000.0,899.3834830151811,545.0,1496.04557534613,95737573.0,0.8177691469857601,81776.91469857602,735.4880637184066,445.6841851072393,1223.4199140026253,78291233.40669695,0.5427476870177501,0.39675680843412164,0.6974423209410953,69.74423209410952,0.013934067795019274,0.43520005463261935,0.12352570291283504,0.02687465244177467,104735,747.5173858471088,445.6841851072393,1229.7335482613541,9426,30.966150562433832,2572.011586452819,2234.9630787120823,1005.6448779347271,943,9.568808476061953,7944.36710311078,7359.922322871841,1937.6205540952583,105,2.6632657587841715,19858.129632860517,16355.382939715204,9754.109998005853,0.543,0.529417718899,-0.0002523129822499248,0.01332996811875009
2012,110502,110502,0,1758,0,1.0,100000.0,1014.2672440317822,622.0,1686.304411026255,112078559.0,0.6920599916402683,69205.99916402683,701.9337804256332,430.4613148002469,1167.0238165977776,77565086.60459332,0.5352162393011409,0.390541477709794,0.6944853224237814,69.44853224237814,0.014131259153834059,0.4277358705156019,0.12230575698247015,0.028630409140073754,108744,713.2815291380979,430.4613148002469,1172.9741388853918,9787,30.344266828055844,2404.8796203852457,2076.179974920805,904.2651479530466,979,9.278447271971082,7351.211095062202,6920.599916402683,1895.94086183944,109,2.838235099007653,20197.059748506887,16724.321757978723,9594.739607742426,0.54,0.534459752729,-0.0047837606988591075,0.0007564865721408909
2013,111029,111029,0,2165,0,1.0,82000.0,1109.5523601941834,678.0,1800.6698609186542,123192489.0,0.6114811490567047,50141.45422264978,678.470352150118,414.5842190604458,1101.0756756263154,75329884.72887544,0.5363271946845327,0.39111443887021025,0.6945425916919185,69.45425916919184,0.013502955995272079,0.42863500793463627,0.11956394167830031,0.02698392756721968,108864,691.9632268598937,414.5842190604458,1107.7643261430374,9798,30.658909732719177,2357.146495283459,2038.0666698059965,910.9479466607362,980,9.146182605337247,7030.417156829598,6420.552065095399,1575.0593144663515,109,2.665457144875123,18420.970593871607,15287.028726417617,8368.142121998244,0.532,0.527108703138,0.004327194684532687,0.009218491546532759
2014,115020,115020,0,782,0,1.0,100000.0,1222.7204486176317,724.0,1920.9940243225,140637306.0,0.5852691209249501,58526.91209249501,715.6205220994019,423.7348435496639,1124.2984839173118,82310672.45187321,0.5248901286181102,0.38321616051924273,0.6906854668951766,69.06854668951766,0.01614438142440154,0.42155504599897065,0.11668616576031432,0.02504620644538247,114238,720.5192007201912,423.7348435496639,1126.5746262454888,10281,30.39568960457762,2433.50807410874,2128.0385236831185,922.9999862237659,1028,9.118204383124347,7300.832045997886,6827.749564710468,1716.5566521156975,115,2.504336224984287,17924.660758612372,14631.728023123753,8417.613022820535,0.526,0.52051631641,-0.001109871381889782,0.004373812208110284
2015,115625,115625,0,685,0,5.0,107000.0,1248.759904864865,788.0,1907.7045301829041,144387864.0,1.7474127708119864,37394.63329537651,436.4198010877652,275.3922526799691,666.7094517954976,50461039.500772856,0.5229362857855651,0.3812025384546629,0.6896165933534834,68.96165933534833,0.01589523678706892,0.41924817864194674,0.1152201025703361,0.023429434484834033,114940,439.02070211217034,275.3922526799691,667.8388441535952,10344,30.324316592147937,1479.3083308104397,1293.08545040087,568.8103507060918,1035,9.148390061369698,4460.263500050765,4193.790649948767,1090.7926150459848,115,2.3335070598454175,10239.234080190605,9086.54640822233,3746.6654604693717,0.524,0.519366717318,-0.0010637142144349632,0.003569568467565065
2016,459490,459490,0,4521,0,3.0,100000.0,1006.0726936385993,620.0,1537.4493903828745,462280342.0,1.2385761531994015,41285.87177331338,415.3658822419521,255.97240499454296,634.7493838930618,190856469.23135456,0.5299237704262453,0.3826788196758446,0.6909202417279444,69.09202417279444,0.007366599176120548,0.4126649105926605,0.11381222003195635,0.02406450369926183,454969,419.4933484069344,258.86241601867494,636.5367244334552,40947,29.760269364860864,1387.144341307395,1235.2732834575363,511.9382014985949,4095,8.92073061588243,4157.702437878797,3922.157818464771,983.2402273564248,455,2.389938744139806,10024.950997488813,8566.818392962527,4402.075999664664,0.537,0.533623062525,-0.007076229573754755,-0.0036992920987547473
2017,457790,457790,0,0,0,10.0,15000070.0,106446.80076017388,65030.0,168225.2824168353,48730280920.0,4.197213536733613,6295849.685595176,44677.99530925876,27294.479629378686,70607.74325807761,20453139472.62557,0.5351440448040001,0.38612155141691856,0.6925281327369883,69.25281327369883,0.0064311828559108775,0.4165575924615186,0.11606781402080635,0.02577008938991665,457790,44677.99530925877,27294.479629378686,70607.74325807761,41201,30.04881844214905,149169.35865267296,127788.3633393916,55867.743205258426,4120,9.029145362866501,448238.7607410655,419750.73416811845,104472.16359459664,458,2.577795441118503,1151179.250853605,960540.7123085607,577173.8650522116,0.539,0.53286657297,-0.003855955195999905,0.0022774718340001776
2018,452443,452443,0,5746,0,2.0,153100.0,1146.7290266398197,692.0,1841.8735317229514,518829521.0,0.6246850080776679,47819.63736834548,358.17221563469604,216.1410127948731,575.2953910211972,162052511.75840878,0.544535605277025,0.39419242049552095,0.6966785061603344,69.66785061603345,0.006175086920263826,0.42472281930973976,0.11934631065498447,0.02622657626346636,446697,362.7794942845123,218.63975282718377,577.5384555868402,40203,30.374128229299426,1224.337430547462,1069.7730763330062,462.2445357906255,4020,9.237806844071235,3723.9049806486637,3435.7675444271736,881.1636485091436,447,2.6016757824387553,9431.948441280176,8120.905105009682,4103.154000136679,0.545,0.538905021683,-0.0004643947229749923,0.005630583594025018
2019,443632,443632,0,5449,0,4.0,116667.0,1202.4329286435604,733.0,1962.2734994105058,533437725.0,1.2271824814020922,35792.924639434474,368.90115627309734,224.88118971693342,602.0169155490379,163656357.75974673,0.5431336200205137,0.3924159603574295,0.6959057476042713,69.59057476042713,0.005732797321193663,0.4225593561079364,0.12075438549006923,0.027089604507474885,438183,373.4886058102362,229.7899196425418,604.3326241689488,39437,30.018705182502796,1245.7215190891905,1073.7846712268308,470.27443468684044,3943,9.29350131732809,3857.318225790828,3579.3845026295526,942.0104402134983,439,2.690291355003061,10029.231992536099,8528.918245744542,4922.215615335338,0.543,0.534758476099,0.0001336200205136473,0.008375143921513728
