year,pareto_x_pmin,pareto_selection_alpha,pareto_selection_r2,pareto_selection_status,transition_x_t,transition_delta_x_t,transition_rule,pareto_population_n,pareto_population_pct,pareto_alpha_ls,pareto_beta_ls,pareto_ls_r2,pareto_ls_sse,pareto_alpha_mle,pareto_alpha_mle_fisher_se,pareto_beta_mle_continuity,cutoff_normalized,cutoff_income_adj,pareto_alpha,pareto_r2
1987,7.763947684149914,2.665443345041113,0.9889923196717456,earliest_tail_start_with_r2_ge_0.98,7.763947684149914,0.0,coincident_regime_bounds,3459,1.182099345556448,2.665443345041113,325.8939709105412,0.9889923196717456,1.3403925913247574,2.384758946219901,0.04054797832541188,185.0902512345535,7.763947684149914,1760.8285210917386,2.384758946219901,0.9889923196717456
1988,8.533216400084266,2.586288054895858,0.9948405114166048,earliest_tail_start_with_r2_ge_0.98,8.533216400084266,0.0,coincident_regime_bounds,3140,1.084130606664296,2.586288054895858,315.46709804286985,0.9948405114166048,0.5281649046054276,2.3587623013401595,0.0420939183249053,203.03216629391005,8.533216400084266,2120.458320801568,2.3587623013401595,0.9948405114166048
1989,9.73777265679984,2.1283818368836718,0.9891179393912273,earliest_tail_start_with_r2_ge_0.98,9.73777265679984,0.0,coincident_regime_bounds,1200,1.057101076481263,2.1283818368836718,158.99037859968124,0.9891179393912273,1.1252038178086128,1.9303418859929515,0.055724170375302015,97.81760516202861,9.73777265679984,22921.90877989906,1.9303418859929515,0.9891179393912273
1990,8.665971226618906,2.1249824940992976,0.9973701896148859,earliest_tail_start_with_r2_ge_0.98,8.665971226618906,0.0,coincident_regime_bounds,1365,1.1809082179100088,2.1249824940992976,117.3916280711946,0.9973701896148859,0.28913903187031487,2.0432345604047604,0.05530340866649768,111.64879743652094,8.665971226618906,22706.817828902873,2.0432345604047604,0.9973701896148859
1992,7.465068963129983,2.2158432186449795,0.9949571247325956,earliest_tail_start_with_r2_ge_0.98,7.465068963129983,0.0,coincident_regime_bounds,857,1.1377817901808236,2.2158432186449795,87.83843088367628,0.9949571247325956,0.4621910631819949,2.385813881756108,0.08149784971413772,164.2502638201749,7.465068963129983,2383.2792547559166,2.385813881756108,0.9949571247325956
1993,8.09189309790807,2.2247184517105785,0.994233691028353,earliest_tail_start_with_r2_ge_0.98,8.09189309790807,0.0,coincident_regime_bounds,910,1.1846181884454163,2.2247184517105785,113.98906162573167,0.994233691028353,0.5296301750024958,2.30854639052865,0.07652756766246273,168.8108151264237,8.09189309790807,2885.923224713484,2.30854639052865,0.994233691028353
1995,8.407876016545897,2.81498264520965,0.987033751215114,earliest_tail_start_with_r2_ge_0.98,8.407876016545897,0.0,coincident_regime_bounds,855,1.0395642341268876,2.81498264520965,528.5096506593684,0.987033751215114,0.9050353838251995,2.354246696428253,0.08051353820011257,185.7015978628109,8.407876016545897,4763.236359252876,2.354246696428253,0.987033751215114
1996,8.124437179052151,2.7683677524308172,0.9890732777606026,earliest_tail_start_with_r2_ge_0.98,8.124437179052151,0.0,coincident_regime_bounds,879,1.0868758810000743,2.7683677524308172,435.2511089992099,0.9890732777606026,0.811619158574289,2.4484389580033117,0.08258379638622369,219.50251986937064,8.124437179052151,4746.54234628156,2.4484389580033117,0.9890732777606026
1997,7.7900910764788405,2.4693767411230025,0.9870747699933728,earliest_tail_start_with_r2_ge_0.98,7.7900910764788405,0.0,coincident_regime_bounds,1034,1.1957351342600089,2.4693767411230025,194.4096133009451,0.9870747699933728,1.2238900361404053,2.3220678807765593,0.07221287600734087,164.29078928066536,7.7900910764788405,4328.002834195265,2.3220678807765593,0.9870747699933728
1998,8.15287296793561,2.5695625585912154,0.9947974353016932,earliest_tail_start_with_r2_ge_0.98,8.15287296793561,0.0,coincident_regime_bounds,1008,1.1568920004590841,2.5695625585912154,261.69581960134343,0.9947974353016932,0.5546005008562218,2.400075202667349,0.07559526326322323,207.7139817563189,8.15287296793561,4346.832187378333,2.400075202667349,0.9947974353016932
1999,8.176655455951684,2.983033542269379,0.9951336097588339,earliest_tail_start_with_r2_ge_0.98,8.176655455951684,0.0,coincident_regime_bounds,968,1.0711282255565884,2.983033542269379,764.9941340401873,0.9951336097588339,0.41477137287154753,2.3343081813087214,0.075027506562847,173.5492168490256,8.176655455951684,2639.6928802500643,2.3343081813087214,0.9951336097588339
2001,8.53395522561751,2.858934010126409,0.9979796918398322,earliest_tail_start_with_r2_ge_0.98,8.53395522561751,0.0,coincident_regime_bounds,1017,1.021720348007796,2.858934010126409,588.1840898676451,0.9979796918398322,0.184522138055901,2.3326399775766484,0.07314543684440665,178.48624529283995,8.53395522561751,2137.9532231301678,2.3326399775766484,0.9979796918398322
